season,category,rank,player,slug,headshot_id,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
2025,kickoff-returns,47,DeeJay Dallas,deejay-dallas,qrvemj4m3g2mqlbgy352,26.8,12,321,0,11,0,35,0,0
2025,kickoff-returns,48,Devin Duvernay,devin-duvernay,tj3t166iwsxbnyzxcyyl,26.7,40,1069,0,37,3,56,0,0
2025,kickoff-returns,49,Zamir White,zamir-white,jzthyqk2ld52f31ka1ir,26.7,11,294,0,11,0,34,0,0
2025,kickoff-returns,50,Brashard Smith,brashard-smith,xnf4x6b9a2yunsc0gaej,26.7,18,481,0,16,0,37,0,0
2025,kickoff-returns,51,Avery Williams,avery-williams-2,udxcy5ukuuppfhemywfn,26.6,5,133,0,5,0,29,0,0
2025,kickoff-returns,52,Tyler Badie,tyler-badie,ghhul5piv9vzeih6atsj,26.6,17,452,0,16,0,34,0,0
2025,kickoff-returns,53,Xavier Gipson,xavier-gipson,o81mvslx374ouca313mw,26.6,12,319,0,10,1,40,0,1
2025,kickoff-returns,54,Dyami Brown,dyami-brown,addv9eheok1jj7amfkpb,26.5,4,106,0,4,0,31,0,0
2025,kickoff-returns,55,Cody White,cody-white-2,qaxlehtrp722qleo48sc,26.5,4,106,0,3,0,36,0,0
2025,kickoff-returns,56,Tyrone Tracy Jr.,tyrone-tracy-jr,b9nje50lohbprf06xoom,26.4,5,132,0,5,0,30,0,0
2025,kickoff-returns,57,Tyquan Thornton,tyquan-thornton,bjqzuempyiwxe0hl7e5a,26.4,18,475,0,16,0,34,0,0
2025,kickoff-returns,58,Kyle Williams,kyle-williams-5,xkicyhizq6sm86wr5osk,26.4,11,290,0,10,0,36,0,0
2025,kickoff-returns,59,Jaret Patterson,jaret-patterson,thg0iebj03kg0nuykglu,26.3,3,79,0,3,0,34,0,0
2025,kickoff-returns,60,Marvin Mims Jr.,marvin-mims-jr,zbdjtph5xplbf4yocz0l,26.3,25,658,0,21,1,46,0,0
2025,kickoff-returns,61,KaVontae Turpin,kavontae-turpin,tayjlp1hgmm6rewgl1k4,26.3,69,1814,0,62,3,84,0,0
2025,kickoff-returns,62,Gunner Olszewski,gunner-olszewski,q6fs5e2eotgeh47xeo74,26.2,26,682,0,22,0,37,0,1
2025,kickoff-returns,63,Andre Baccellia,andre-baccellia,uaqykjil87rj71rkyz70,26.2,9,236,0,8,1,43,0,0
2025,kickoff-returns,64,Chris Moore,chris-moore,o0s29hnpztyxqotqdx8h,26.2,6,157,0,6,0,33,0,0
2025,kickoff-returns,65,Greg Dortch,greg-dortch,pylafoddjiqh4rhjlhpf,26.2,31,811,0,29,0,39,0,1
2025,kickoff-returns,66,Ronnie Rivers,ronnie-rivers,t9l7jhs1jw1joy8jpxee,26.1,16,418,0,14,1,46,0,0
2025,kickoff-returns,67,Devin Singletary,devin-singletary,xy2r2msxjqneml2c1cdc,26.1,12,313,0,11,0,33,0,0
2025,kickoff-returns,68,Myles Price,myles-price,yi2pgwujy0lv9l3m3sig,26,57,1479,0,49,1,61,0,2
2025,kickoff-returns,69,Dee Eskridge,d-wayne-eskridge,baasw8ia3qztewmawfnz,25.9,28,726,0,25,1,54,0,1
2025,kickoff-returns,70,Dylan Laube,dylan-laube,lpizdza73bgksstymv5t,25.9,33,855,0,29,0,38,0,1
2025,kickoff-returns,71,Chuba Hubbard,chuba-hubbard,rzsvnt0pxsaize2ndhxm,25.9,9,233,0,9,0,27,0,0
2025,kickoff-returns,72,Emanuel Wilson,emanuel-wilson,uorruvczsxzvffpbxu8z,25.9,9,233,0,8,0,33,0,0
2025,kickoff-returns,73,Anthony Gould,anthony-gould,irctulz9pij3tzpokih0,25.9,25,647,0,22,0,39,0,0
2025,kickoff-returns,74,Charlie Jones,charlie-jones-3,poy4ph18jx211xbe6ajt,25.8,42,1084,1,37,1,98,0,0
2025,kickoff-returns,75,Tahj Brooks,tahj-brooks,s89clgkij0ytcmrkdydt,25.8,10,258,0,9,1,41,0,0
2025,kickoff-returns,76,Josh Williams,josh-williams-3,c2zxbiz8153usfggosvv,25.8,5,129,0,5,0,28,0,0
2025,kickoff-returns,77,Derius Davis,derius-davis,ykmeihbr6903smvblzgc,25.8,18,464,0,17,0,30,0,1
2025,kickoff-returns,78,LeQuint Allen Jr.,lequint-allen,i0utigksuuvo2njb9wtk,25.7,24,617,0,21,1,50,0,0
2025,kickoff-returns,79,Jaylen Warren,jaylen-warren,dkiteytgnxar1mpaxcxv,25.6,8,205,0,7,0,31,0,0
2025,kickoff-returns,80,Chimere Dike,chimere-dike,cbcpv4931dqmgsu3anvo,25.6,62,1588,0,56,3,71,0,1
2025,kickoff-returns,81,Savion Williams,savion-williams,snmedlu4ra62snufe1qg,25.6,28,717,0,24,0,36,0,0
2025,kickoff-returns,82,D'Ernest Johnson,d-ernest-johnson,gbe2eojaxid4n3pmo0rj,25.6,5,128,0,5,0,32,0,0
2025,kickoff-returns,83,Evan Hull,evan-hull,xyyujk9mvvzegaiefp51,25.6,7,179,0,7,0,29,0,0
2025,kickoff-returns,84,Nikko Remigio,nikko-remigio,n6b1tsy32fswbd0xgsim,25.6,29,741,0,26,1,47,0,0
2025,kickoff-returns,85,Jordan Whittington,jordan-whittington,enqcg1lgjkuk0hqz3qjc,25.5,17,434,0,15,0,38,0,0
2025,kickoff-returns,86,Trey Sermon,trey-sermon,eqhl3xiczodsyqlmsxvr,25.5,2,51,0,2,0,26,0,0
2025,kickoff-returns,87,Xavier Weaver,xavier-weaver,kubeuin8fuw75xuxnhli,25.5,2,51,0,2,0,27,0,0
2025,kickoff-returns,88,Rasheen Ali,rasheen-ali,zwjrkzu3ia3cfrwgotqt,25.4,30,763,0,26,2,43,0,0
2025,kickoff-returns,89,Tai Felton,tai-felton,pyritorbaz2enqayclln,25.4,7,178,0,6,0,34,0,0
2025,kickoff-returns,90,Jalen Brooks,jalen-brooks,xeg0tvg6klf0afgddkq6,25.4,10,254,0,9,0,33,0,1
2025,kickoff-returns,91,Kameron Johnson,kameron-johnson,ms7auybbkq1nwbd2ev0d,25.4,27,685,0,24,1,44,0,0
2025,kickoff-returns,92,Samaje Perine,samaje-perine,fllwhcdovol5i7xxahf6,25.3,17,430,0,15,0,38,0,0
2025,kickoff-returns,93,Josh Blackwell,josh-blackwell,w95cwi511mgmeimkgzyg,25.3,18,455,0,14,0,34,0,2
2025,kickoff-returns,94,Blake Corum,blake-corum,axzqbqjkrbwfzodwwakq,25.1,13,326,0,12,0,30,0,0
2025,kickoff-returns,95,Braelon Allen,braelon-allen,fmpzgmfjmcbrv1gmqbdn,25,4,100,0,4,0,31,0,0
2025,kickoff-returns,96,Britain Covey,britain-covey,jgvgr3prtme8ua28bfxi,25,5,125,0,5,0,30,0,1
2025,kickoff-returns,97,Ollie Gordon II,ollie-gordon-ii,bv33rgypaauv7sealwkr,25,1,25,0,1,0,25,0,0
2025,kickoff-returns,98,Parker Washington,parker-washington,yn0hc5xrz5nqeccg8two,25,3,75,0,3,0,32,0,0
2025,kickoff-returns,99,DeAndre Carter,deandre-carter,jx4io3owliw3l5xve6ta,24.9,11,274,0,9,0,32,0,0
2025,kickoff-returns,100,Curtis Samuel,curtis-samuel,vyibrxegz375ntjby5zs,24.8,9,223,0,7,0,31,0,0
2025,kickoff-returns,101,Jamal Agnew,jamal-agnew,buapoaxrvjzwsr4l34mq,24.7,30,741,0,25,1,45,0,1
2025,kickoff-returns,102,Rico Dowdle,rico-dowdle,mx2bxccuzmdvzbksypws,24.6,8,197,0,7,0,30,0,0
2025,kickoff-returns,103,Hassan Haskins,hassan-haskins,n9jwsfxyo1xppmhscpik,24.6,8,197,0,8,0,29,0,0
2025,kickoff-returns,104,Tylan Wallace,tylan-wallace,rifnnpeub6okv41offnd,24.6,5,123,0,4,0,33,0,0
2025,kickoff-returns,105,LaJohntay Wester,lajohntay-wester,t6cyhtqoihm88xppswud,24.6,10,246,0,9,0,32,0,1
2025,kickoff-returns,106,Bo Melton,bo-melton,d7hxvsyeufobjykcxhls,24.6,19,467,0,17,0,36,0,0
2025,kickoff-returns,107,Kendre Miller,kendre-miller,vclaomtslw55smksopku,24.6,16,393,0,14,1,43,0,0
2025,kickoff-returns,108,Arian Smith,arian-smith,asywvwrn6zhlidxothqn,24.5,2,49,0,1,0,31,0,0
